Condition,Tid,Value_Clean,Value_Noisy,Semantik,Replication
Pseudoord,0,6.0,6.496714153011233,meningsfuld,1
Pseudoord,1,5.613041910189707,5.474777609018522,meningsfuld,1
Pseudoord,2,5.251039914257685,5.898728452358378,meningsfuld,1
Pseudoord,3,4.912384518467891,6.435414374875917,meningsfuld,1
Pseudoord,4,4.595570030187892,4.361416655464556,meningsfuld,1
Pseudoord,5,4.299187863442736,4.065050906493555,meningsfuld,1
Pseudoord,6,4.0219202762138355,5.601133091721227,meningsfuld,1
Pseudoord,7,3.7625345116383366,4.529969240791245,meningsfuld,1
Pseudoord,8,3.5198773170601907,3.0504029311252387,meningsfuld,1
Pseudoord,9,3.292869816564158,3.8354298601501227,meningsfuld,1
Pseudoord,10,3.080502714195552,2.61708502138309,meningsfuld,1
Pseudoord,11,2.8818318065387967,2.4161020529685397,meningsfuld,1
Pseudoord,12,2.6959737847033294,2.9379360562693635,meningsfuld,1
Pseudoord,13,2.5221023070520916,0.6088220623942937,meningsfuld,1
Pseudoord,14,2.3594443252115895,0.6345264926985568,meningsfuld,1
Pseudoord,15,2.207276647028654,1.6449891177876812,meningsfuld,1
Pseudoord,16,2.0649227211924743,1.0520916008580505,meningsfuld,1
Pseudoord,17,1.9317496292260556,2.2459969618213296,meningsfuld,1
Pseudoord,18,1.8071652714732127,0.8991411959520018,meningsfuld,1
Pseudoord,19,1.6906157345697501,0.27831203323445863,meningsfuld,1
Pseudoord,20,1.5815828286943607,3.047231597615915,meningsfuld,1
Pseudoord,21,1.479581783649639,1.2538054831631034,meningsfuld,1
Pseudoord,22,1.3841590935297772,1.451687298217701,meningsfuld,1
Pseudoord,23,1.2948905003921385,-0.1298576858213183,meningsfuld,1
Pseudoord,24,1.2113791079679324,0.6669963834427497,meningsfuld,1
Pseudoord,25,1.133253617025371,1.244176206735237,meningsfuld,1
Pseudoord,26,1.0601666745395804,-0.09082690288272244,meningsfuld,1
Pseudoord,27,0.9917933293295191,1.367491347675191,meningsfuld,1
Pseudoord,28,0.9278295872955289,0.3271908973767239,meningsfuld,1
Pseudoord,29,0.8679910598339704,0.5762973100406936,meningsfuld,1
Sjælden,0,5.0,4.398293387770603,meningsfuld,1
Sjælden,1,4.232408624453071,6.084686808962009,meningsfuld,1
Sjælden,2,3.5826565528689462,3.569159328131012,meningsfuld,1
Sjælden,3,3.032653298563167,1.9749423696072665,meningsfuld,1
Sjælden,4,2.5670855951629603,3.3896305072661495,meningsfuld,1
Sjælden,5,2.172991042535391,0.9521473925643686,meningsfuld,1
Sjælden,6,1.8393972058572117,2.048260800861967,meningsfuld,1
Sjælden,7,1.5570161195729884,-0.4026540043067872,meningsfuld,1
Sjælden,8,1.3179856905786338,-0.01020035831979671,meningsfuld,1
Sjælden,9,1.115650800742149,1.3125120366112726,meningsfuld,1
Sjælden,10,0.9443780141878091,1.6828445941832195,meningsfuld,1
Sjælden,11,0.7993987303984695,0.97076701158844,meningsfuld,1
Sjælden,12,0.6766764161830635,0.561028133794823,meningsfuld,1
Sjælden,13,0.5727942199634386,0.2716905243741498,meningsfuld,1
Sjælden,14,0.48485983932202525,-0.9936621510454021,meningsfuld,1
Sjælden,15,0.410424993119494,-0.30941921527521465,meningsfuld,1
Sjælden,16,0.3474172561140077,-0.1132215148457798,meningsfuld,1
Sjælden,17,0.2940823582121494,1.3512045844310652,meningsfuld,1
Sjælden,18,0.24893534183931973,0.5925536314077812,meningsfuld,1
Sjælden,19,0.21071921754638204,-1.5523209378163518,meningsfuld,1
Sjælden,20,0.178369966736262,0.5024539361310569,meningsfuld,1
Sjælden,21,0.1509869171115925,-0.23409536330472402,meningsfuld,1
Sjælden,22,0.12780766603253702,-0.5491143342734217,meningsfuld,1
Sjælden,23,0.10818685359746545,0.7198631424383334,meningsfuld,1
Sjælden,24,0.0915781944436709,1.1225777169396218,meningsfuld,1
Sjælden,25,0.07751926799504658,1.008799387111245,meningsfuld,1
Sjælden,26,0.06561864368470484,-0.7735988795379337,meningsfuld,1
Sjælden,27,0.05554498269121153,-0.25366739316000303,meningsfuld,1
Sjælden,28,0.04701781275747603,0.37828124416104,meningsfuld,1
Sjælden,29,0.03979971924353225,1.0153448463658914,meningsfuld,1
Hyppig,0,4.0,3.52082576215471,meningsfuld,1
Hyppig,1,2.6812801841425573,2.4956212074787403,meningsfuld,1
Hyppig,2,1.7973158564688863,0.690980882462858,meningsfuld,1
Hyppig,3,1.2047768476488085,0.008570223568137747,meningsfuld,1
Hyppig,4,0.8075860719786215,1.6201118943728194,meningsfuld,1
Hyppig,5,0.5413411329464508,1.8975811615172737,meningsfuld,1
Hyppig,6,0.36287181315765005,0.29086169157731623,meningsfuld,1
Hyppig,7,0.2432402505008719,1.246773148392896,meningsfuld,1
Hyppig,8,0.16304881591346485,0.524684840961099,meningsfuld,1
Hyppig,9,0.10929488978917024,-0.535824864815954,meningsfuld,1
Hyppig,10,0.07326255555493671,0.43465816106335065,meningsfuld,1
Hyppig,11,0.049109359612273744,1.587145926078243,meningsfuld,1
Hyppig,12,0.03291898819608012,-0.0029070509138714173,meningsfuld,1
Hyppig,13,0.022066257683043086,1.5867099134970493,meningsfuld,1
Hyppig,14,0.014791454865931728,-2.6049536492238126,meningsfuld,1
Hyppig,15,0.009915008706665434,0.8318175130818892,meningsfuld,1
Hyppig,16,0.006646229092695736,0.09369329733086694,meningsfuld,1
Hyppig,17,0.004455100591379213,-0.2945522498744882,meningsfuld,1
Hyppig,18,0.002986343233506717,0.09474711976900901,meningsfuld,1
Hyppig,19,0.0020018057337624433,-1.9855671088671303,meningsfuld,1
Hyppig,20,0.0013418505116100474,-0.2183300373259019,meningsfuld,1
Hyppig,21,0.0008994692967153928,0.35801204080846183,meningsfuld,1
Hyppig,22,0.000602932300381906,1.478496977041898,meningsfuld,1
Hyppig,23,0.0004041576073483737,-0.517866060666299,meningsfuld,1
Hyppig,24,0.0002709149459634156,-0.8082226879472242,meningsfuld,1
Hyppig,25,0.00018159971904993942,-0.5015754438654866,meningsfuld,1
Hyppig,26,0.0001217299320336145,0.9155238476341078,meningsfuld,1
Hyppig,27,8.159801364468769e-05,0.32883270767332917,meningsfuld,1
Hyppig,28,5.4696784262723854e-05,-0.5297055069827761,meningsfuld,1
Hyppig,29,3.666435094499047e-05,0.5133040974643011,meningsfuld,1
Pseudoord,0,0.0,6.0970775493480405,nonsens,1
